order_id,product_combo
141275,"USB-C Charging Cable, Wired Headphones"
141290,"AA Batteries (4-pack), Apple Airpods Headphones"
141365,"Vareebadd Phone, Wired Headphones"
141384,"Google Phone, USB-C Charging Cable"
141450,"Bose SoundSport Headphones, Google Phone"
141457,"Apple Airpods Headphones, iPhone"
141478,"Apple Airpods Headphones, Google Phone"
141550,"Apple Airpods Headphones, iPhone, Wired Headphones"
141587,"Apple Airpods Headphones, USB-C Charging Cable"
141645,"Lightning Charging Cable, Wired Headphones"
141738,"iPhone, Lightning Charging Cable"
141782,"27in FHD Monitor, Bose SoundSport Headphones"
141789,"Google Phone, USB-C Charging Cable"
141795,"iPhone, Wired Headphones"
141809,"Google Phone, USB-C Charging Cable"
141843,"AA Batteries (4-pack), AAA Batteries (4-pack)"
141900,"USB-C Charging Cable, Vareebadd Phone, Wired Headphones"
141901,"Google Phone, USB-C Charging Cable"
141910,"Vareebadd Phone, Wired Headphones"
141939,"34in Ultrawide Monitor, Lightning Charging Cable"
141946,"USB-C Charging Cable, Wired Headphones"
141947,"Bose SoundSport Headphones, Lightning Charging Cable"
141965,"Google Phone, Wired Headphones"
141967,"iPhone, Wired Headphones"
141970,"Apple Airpods Headphones, Lightning Charging Cable"
141972,"Google Phone, iPhone"
141993,"iPhone, Wired Headphones"
142010,"iPhone, Lightning Charging Cable"
142023,"20in Monitor, Wired Headphones"
142037,"Apple Airpods Headphones, iPhone"
142039,"Google Phone, USB-C Charging Cable"
142048,"Google Phone, Wired Headphones"
142085,"iPhone, Lightning Charging Cable"
142112,"20in Monitor, Bose SoundSport Headphones"
142128,"Bose SoundSport Headphones, Google Phone, Wired Headphones"
142144,"USB-C Charging Cable, Vareebadd Phone"
142145,"Apple Airpods Headphones, USB-C Charging Cable"
142192,"Google Phone, USB-C Charging Cable"
142230,"Google Phone, USB-C Charging Cable"
142261,"iPhone, Wired Headphones"
142287,"Google Phone, USB-C Charging Cable, Wired Headphones"
142299,"iPhone, Wired Headphones"
142308,"Google Phone, Wired Headphones"
142319,"Bose SoundSport Headphones, Google Phone"
142320,"Google Phone, iPhone"
142350,"iPhone, Wired Headphones"
142379,"Google Phone, USB-C Charging Cable"
142389,"iPhone, Lightning Charging Cable"
142396,"USB-C Charging Cable, Vareebadd Phone"
142419,"Google Phone, Wired Headphones"
142453,"Bose SoundSport Headphones, Vareebadd Phone"
142504,"Google Phone, USB-C Charging Cable"
142569,"iPhone, Lightning Charging Cable"
142570,"AA Batteries (4-pack), AAA Batteries (4-pack)"
142587,"iPhone, Lightning Charging Cable"
142604,"AAA Batteries (4-pack), Apple Airpods Headphones"
142610,"Apple Airpods Headphones, iPhone"
142634,"Google Phone, USB-C Charging Cable"
142639,"27in 4K Gaming Monitor, AAA Batteries (4-pack)"
142651,"AA Batteries (4-pack), USB-C Charging Cable"
142652,"Lightning Charging Cable, USB-C Charging Cable"
142683,"USB-C Charging Cable, Wired Headphones"
142727,"AA Batteries (4-pack), Macbook Pro Laptop"
142730,"Google Phone, USB-C Charging Cable"
142790,"Bose SoundSport Headphones, Macbook Pro Laptop"
142812,"iPhone, Lightning Charging Cable"
142824,"Google Phone, Wired Headphones"
142835,"iPhone, Wired Headphones"
142837,"iPhone, Wired Headphones"
142873,"34in Ultrawide Monitor, Wired Headphones"
142925,"iPhone, Lightning Charging Cable"
142965,"Google Phone, USB-C Charging Cable"
142989,"USB-C Charging Cable, Vareebadd Phone"
142997,"iPhone, Wired Headphones"
143006,"Bose SoundSport Headphones, Google Phone, Wired Headphones"
143021,"Apple Airpods Headphones, iPhone, Lightning Charging Cable"
143040,"iPhone, Lightning Charging Cable"
143060,"AA Batteries (4-pack), Wired Headphones"
143062,"20in Monitor, USB-C Charging Cable"
143065,"Apple Airpods Headphones, Lightning Charging Cable"
143067,"iPhone, Wired Headphones"
143068,"Apple Airpods Headphones, Bose SoundSport Headphones"
143074,"Google Phone, USB-C Charging Cable"
143095,"Apple Airpods Headphones, Lightning Charging Cable"
143111,"iPhone, Lightning Charging Cable, Wired Headphones"
143142,"ThinkPad Laptop, Wired Headphones"
143143,"Flatscreen TV, LG Dryer"
143146,"Google Phone, USB-C Charging Cable"
143211,"AAA Batteries (4-pack), Apple Airpods Headphones"
143243,"iPhone, Lightning Charging Cable, Wired Headphones"
143259,"Google Phone, USB-C Charging Cable"
143271,"Google Phone, Wired Headphones"
143275,"Google Phone, USB-C Charging Cable"
143295,"Google Phone, USB-C Charging Cable"
143326,"USB-C Charging Cable, Vareebadd Phone"
143357,"27in 4K Gaming Monitor, AAA Batteries (4-pack)"
143378,"AA Batteries (4-pack), Bose SoundSport Headphones"
143379,"34in Ultrawide Monitor, Lightning Charging Cable"
143393,"Apple Airpods Headphones, USB-C Charging Cable"
143427,"Apple Airpods Headphones, ThinkPad Laptop"
143436,"Google Phone, USB-C Charging Cable"
143439,"Google Phone, Wired Headphones"
143455,"AAA Batteries (4-pack), Flatscreen TV"
143526,"iPhone, Wired Headphones"
143545,"Vareebadd Phone, Wired Headphones"
143572,"AAA Batteries (4-pack), USB-C Charging Cable"
143590,"iPhone, Lightning Charging Cable"
143623,"27in FHD Monitor, USB-C Charging Cable"
143628,"27in 4K Gaming Monitor, AA Batteries (4-pack)"
143630,"iPhone, Wired Headphones"
143632,"Google Phone, USB-C Charging Cable, Wired Headphones"
143641,"20in Monitor, USB-C Charging Cable"
143658,"Google Phone, USB-C Charging Cable"
143666,"Apple Airpods Headphones, iPhone"
143694,"iPhone, Lightning Charging Cable"
143696,"iPhone, Lightning Charging Cable"
143710,"AA Batteries (4-pack), Wired Headphones"
143738,"iPhone, Lightning Charging Cable"
143752,"iPhone, Wired Headphones"
143802,"27in 4K Gaming Monitor, iPhone"
143831,"Bose SoundSport Headphones, Wired Headphones"
143857,"AAA Batteries (4-pack), Lightning Charging Cable"
143865,"iPhone, Wired Headphones"
143869,"iPhone, Wired Headphones"
143959,"Google Phone, USB-C Charging Cable"
143986,"Google Phone, USB-C Charging Cable"
143998,"iPhone, Wired Headphones"
144036,"USB-C Charging Cable, Vareebadd Phone"
144047,"Bose SoundSport Headphones, Google Phone"
144055,"Lightning Charging Cable, USB-C Charging Cable"
144058,"27in FHD Monitor, Lightning Charging Cable"
